Level 1,Level 2,Level 3,Level 4,Level 5,Detailed description (VN),Note,Design,BA,FE UI,BE,FE API,QA,,
App,Authentication,SNS social login,SNS Authentication,,"Đăng nhập bằng Kakao, Google, Apple ID",,0,,2,8,6,2.5,,
,,,Identify User,,"User nhập thông tin cá nhân: Name, RRN, Phone number, Email và xác thực phone, email qua OTP",,0,,2,4,4,1.5,,
,,,Terms and Conditions,,User chọn đồng ý với những điều khoản nào,,0,,4,8,2,1,,
,,Forgot ID,,,User tìm lại ID tài khoản của mình. Hệ thống sẽ gửi lại ID của user qua email,,2,,4,4,2,,,
,Homepage,Home,,,Application number / Date of acccident / Status / Claim Amount / Payment Date,sửa lại home page,4,,2,0,0,0.5,,
,,Navigation bottom bar,,,"tách plan ra page riêng, bổ sung thêm các option như: home, notification, plan, profile",,4,,4,0,0,0.5,,
,User Profile page,Insurance Information,Insurance Information details,,"Hiển thị thông tin chi tiết của gói bảo hiểm hiện đang được liên kết với người dùng: thông tin tổng quan (...), Certificate PDF",,4,,2,8,4,1.25,,
,,Statistics of community activity,,,"Hiển thị thông tin, thống kê cơ bản liên quan đến hoạt động trong community, số bài post đã viết.",,2,,6,8,4,2,,
,,Profile details,CRUD affiliated company,,"User xem, tạo, cập nhật, xóa thông tin công ty liên kết",,2,,6,8,4,,,
,,,CRUD Vehicle ,,"User xem, tạo, cập nhật, xóa thông tin xe",,2,,4,8,2,,,
,,,,Send email notification,Hệ thống sẽ gửi email đến công ty bảo hiểm mỗi khi user thay đổi thông tin xe trong trường hợp xe đó được liên kết với một gói bảo hiểm.,,0,,0,6,0,,,
,Driving Safety Plan Registration,Car information,Vehicle number,,Cho phép user nhập thông tin về Vehicle number,"Tích hợp với RMS 
(Cần confirm với bên RMS)",6,,4,12,2,2.5,,
,,,Car Registration Document,,Cho phép user tải lên giấy đăng ký xe,,,,,,,,,
,,,Affiliated Company Name,,Chp phép user chọn công ty liên kết mà mình thuộc về. Nếu trong list không có công ty của user thì cho phép user manual input,,,,,,,,,
,,,Garage Address,,Cho phép user nhập địa chỉ gara nơi xe được đặt,,,,,,,,,
,,,Installation Location,,Cho phép user nhập địa chỉ lắp đặt thiết bị cảm biến,,,,,,,,,
,,,Preferred Installation Date,,Cho phép user chọn ngày lắp đặt thiết bị,,,,,,,,,
,,Payment method,Account Transfer,same with Netflix model,"Cho phép user nhập thông tin thanh toán bằng hình thức account transfer: Bank name, Account Number, Depositor Contract Information, Payment Date.",,10,,4,,,3,,
,,,Credit Card,,"Cho phép user nhập thông tin thanh toán bằng hình thức credit card: Card Company, Card Number, Card Expiration Date, Payment Date",,,,,,,3,,
,Delivery Care Plan Registration,Car Information,Vehicle number,,User nhập thông tin về Vehicle number ,,1,,4,,2,1.5,,
,,,Car Registration Document,,User tải lên giấy đăng ký xe ,,,,,,,1,,
,,,Affiliated Company Name,,User chọn công ty liên kết mà mình thuộc về. Nếu trong list không có công ty của user thì cho phép user manual input,,,,,,,1.5,,
,,Payment,Bank Transfer,KG payment,"Hiển thị thông tin tài khoản ngân hàng của công ty bảo hiểm và số tiền cần thanh toán kèm hướng dẫn để user chuyển khoản trực tiếp vào tài khoản công ty bảo hiểm: Bank name, Account number, Account holder, Amount",redirect ra web browser để thanh toán rồi trả về kết quả đã thanh toán thành công hay chưa,,,4,,,3,,
,,,Card Payment,,"Cho phép user nhập thông tin thanh toán bằng hình thức card payment: Card Company, Card Number, Card Expiration Date, CVC, Card holder name",,,,,,,3,,
,Accident report,Accident Information,Accident Location,,"Tự động định vị bằng GPS, cho phép người dùng sửa thủ công nếu vị trí không chính xác. GPS Auto-fill + Editable field. Dùng Kakao map định vị vị trí hiện tại",,0,,4,0,4,2.5,,
,Communities,Community list,,,"Hiển thị danh sách cộng đồng. Cho phép filter/search theo tên,...Cho phép user join vào community",,8,,8,16,6,1,,
,,Community details,,,"Hiển thị thông tin chi tiết của community đó: tên community, số người join, số bài post",,,,2,4,2,1.5,,
,,,Thread List,,"Hiển thị danh sách các thread có trong community. Có thể search theo tên bài thread, filter theo ngày đăng. Cho phép thêm, sửa, xoá bài thread của mình.",,,,8,8,4,2,,
,,,Thread details,,"Hiện thông tin chi tiết của bài thread đó: tên bài, người đăng, thời gian đăng, nội dung, reaction, comment. Cho phép thêm, sửa xoá comment của mình",,,,8,8,4,2,,
,Terms and Conditions Agreement,,,,"Khi user đăng nhập vào app, hệ thống kiểm tra phiên bản terms hiện tại. Nếu terms đó có sự thay đổi thì bắt buộc user phải đồng ý lại thì mới vào được home, nếu không có thay đổi thì dùng bình thường.",,2,,4,16,4,1.5,,
,,View history of agreeing to TOS,,,User xem lịch sử đồng ý điều khoản của user.,,,,6,8,2,,x,
